values,samplingRateHz
-43.00586,
-416.4121,
-416.4121,
-43.00586,
-1163.2227,
-43.00586,
-789.8174,
-789.8174,
-416.4121,
-43.00586,
-789.8174,
-789.8174,
-1536.6289,
-1163.2227,
-789.8174,
-789.8174,
-789.8174,
-789.8174,
-789.8174,
-416.4121,
-43.00586,
-789.8174,
-416.4121,
-1163.2227,
-789.8174,
-789.8174,
-789.8174,
-43.00586,
-43.00586,
-416.4121,
-1163.2227,
-416.4121,
-1163.2227,
-789.8174,
-416.4121,
-43.00586,
-789.8174,
-416.4121,
-416.4121,
-789.8174,
-789.8174,
-1536.6289,
-1163.2227,
-789.8174,
-1163.2227,
-789.8174,
-416.4121,
-1163.2227,
-789.8174,
-789.8174,
-789.8174,
-789.8174,
-416.4121,
-1163.2227,
-43.00586,
-1163.2227,
-416.4121,
-789.8174,
-416.4121,
-43.00586,
-789.8174,
-789.8174,
-43.00586,
-1163.2227,
-789.8174,
-789.8174,
330.4004,
-416.4121,
-789.8174,
-789.8174,
-416.4121,
-1163.2227,
-1163.2227,
-789.8174,
-43.00586,
330.4004,
703.80566,
1450.6172,
1077.2109,
330.4004,
-1910.0352,
-1536.6289,
-789.8174,
-1163.2227,
-1536.6289,
-789.8174,
-1163.2227,
-789.8174,
-1163.2227,
-789.8174,
-1536.6289,
-789.8174,
-43.00586,
-789.8174,
-789.8174,
-789.8174,
-789.8174,
-789.8174,
-1536.6289,
-416.4121,
-789.8174,
-1163.2227,
-416.4121,
-1163.2227,
-43.00586,
-789.8174,
-1163.2227,
-43.00586,
-416.4121,
-789.8174,
-416.4121,
-416.4121,
-43.00586,
-43.00586,
-43.00586,
-416.4121,
-43.00586,
-43.00586,
-416.4121,
-43.00586,
-789.8174,
-1163.2227,
-43.00586,
-789.8174,
-1163.2227,
-789.8174,
-789.8174,
-416.4121,
-789.8174,
-1163.2227,
-789.8174,
-1910.0352,
-789.8174,
-1163.2227,
-789.8174,
-1163.2227,
-1536.6289,
-789.8174,
-1163.2227,
-1536.6289,
-1163.2227,
-416.4121,
-789.8174,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-789.8174,
-1163.2227,
-789.8174,
-1163.2227,
-789.8174,
-1163.2227,
-789.8174,
-1163.2227,
-789.8174,
-1910.0352,
-1163.2227,
-1536.6289,
-1163.2227,
-1536.6289,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1536.6289,
-1163.2227,
-1910.0352,
-1536.6289,
-1163.2227,
-789.8174,
-1536.6289,
-1163.2227,
-1163.2227,
-1536.6289,
-1163.2227,
-1910.0352,
-1536.6289,
-1910.0352,
-1163.2227,
-1163.2227,
-1910.0352,
-1536.6289,
-789.8174,
-789.8174,
-1536.6289,
-1163.2227,
-1536.6289,
-1536.6289,
-1536.6289,
-1163.2227,
-1163.2227,
-1536.6289,
-1536.6289,
-1536.6289,
-1910.0352,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1910.0352,
-1163.2227,
-2283.4404,
-1163.2227,
-1163.2227,
-43.00586,
-43.00586,
330.4004,
703.80566,
330.4004,
-1910.0352,
-1910.0352,
-1536.6289,
-2656.8457,
-1910.0352,
-1910.0352,
-1536.6289,
-1910.0352,
-789.8174,
-1536.6289,
-789.8174,
-1163.2227,
-1910.0352,
-1536.6289,
-1536.6289,
-789.8174,
-1536.6289,
-1163.2227,
-1910.0352,
-1163.2227,
-789.8174,
-1536.6289,
-1163.2227,
-1536.6289,
-1536.6289,
-1536.6289,
-1910.0352,
-1163.2227,
-1536.6289,
-1163.2227,
-1536.6289,
-1536.6289,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1536.6289,
-1163.2227,
-789.8174,
-1163.2227,
-789.8174,
-789.8174,
-1163.2227,
-1536.6289,
-1536.6289,
-1163.2227,
-1910.0352,
-1910.0352,
-1910.0352,
-2656.8457,
-2283.4404,
-1910.0352,
-1536.6289,
-1910.0352,
-2283.4404,
-1910.0352,
-1910.0352,
-2656.8457,
-1910.0352,
-1536.6289,
-1163.2227,
-1910.0352,
-2283.4404,
-1910.0352,
-1536.6289,
-1910.0352,
-1910.0352,
-1536.6289,
-1536.6289,
-1163.2227,
-2283.4404,
-2283.4404,
-1536.6289,
-2656.8457,
-1910.0352,
-1163.2227,
-1910.0352,
-1910.0352,
-1536.6289,
-1910.0352,
-1910.0352,
-1910.0352,
-1536.6289,
-2656.8457,
-1910.0352,
-2283.4404,
-1910.0352,
-2283.4404,
-1536.6289,
-1910.0352,
-1910.0352,
-1910.0352,
-1910.0352,
-2283.4404,
-2283.4404,
-2283.4404,
-1910.0352,
-1910.0352,
-1910.0352,
-1163.2227,
-1910.0352,
-1910.0352,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-1536.6289,
-1910.0352,
-2283.4404,
-2283.4404,
-1910.0352,
-3030.252,
-1910.0352,
-2283.4404,
-1536.6289,
-2283.4404,
-2283.4404,
-2656.8457,
-2283.4404,
-2283.4404,
-1910.0352,
-2656.8457,
-2283.4404,
-1536.6289,
-2283.4404,
-1163.2227,
-1910.0352,
-1536.6289,
-2283.4404,
-1536.6289,
-789.8174,
-43.00586,
703.80566,
330.4004,
-43.00586,
-1536.6289,
-2656.8457,
-2656.8457,
-2656.8457,
-2283.4404,
-1536.6289,
-2656.8457,
-2656.8457,
-1910.0352,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2656.8457,
-1910.0352,
